Complaint Type	Source	Group	Hits
Complaint Type	Music	Music-Unidentified	607
Complaint Type	Music	Rock	35
Complaint Type	Music	Rap	8
Complaint Type	Music	Country	9
Complaint Type	Music	Electro Disco Pop	7
Complaint Type	Venue	Club	25
Complaint Type	Venue	Bar	27
Complaint Type	Trash	Trash	75
Complaint Type	Construction	Construction	66
Complaint Type	Traffic	Traffic	199
Complaint Type	People	People	22
